event_id,event_time,location,rock_type,depth,compressive_strength,tensile_strength,tangential_stress,brittleness_ratio,elastic_strain_energy,density,signal_energy,event_duration,dominant_frequency,signal_rms,seismic_event_rate,peak_ground_acceleration,gutenberg_richter_b,cumulative_seismic_energy,axial_stress,radial_stress,strain_rate,intensity_label,seismic_pulses,total_seismic_energy,rockburst_grade
RB01502,7/11/2025 21:56,Reko Diq Zone 3,Limestone,621,117.8,11.8,88.4,3.7,3,2.65,0.48,0.99,5.94,0.073,13.8,0.8,0.92,364,93.3,78.3,0.0044,II,48,15180,2
RB02587,7/22/2025 13:56,Mansehra Mid Tunnel,Sandstone,772,114.5,10.1,96.9,2.7,2.9,2.69,0.5,1.86,7.3,0.077,16,0.88,1.01,376.1,98.3,78.8,0.0048,III,33,14720,1
RB02654,1/13/2025 16:50,Karak Tunnel,Shale,775,107,8.1,94.4,2.59,3.06,2.56,0.49,1.19,6.04,0.082,17.4,0.88,1.14,373,105,82.1,0.0046,III,30,8050,1
RB01056,11/17/2025 16:59,Mine X-Delta,Andesite,544,135.5,13.5,78.3,2.59,3.1,2.69,0.33,1.07,5.89,0.084,11.4,0.63,1.16,344.1,87.7,70.7,0.0038,I,171,28820,2
RB00706,5/19/2025 15:45,Makran Fault Shaft,Chalk,586,130.2,13.9,78.5,2.73,2.59,2.64,0.34,1.29,6.18,0.068,8.2,0.63,0.91,331.8,86.7,71.4,0.0038,I,57,12640,2
RB00107,11/24/2025 9:29,Balochistan Deep Shaft,Sandstone,519,126.6,12.3,75.6,2.55,2.91,2.54,0.31,1.95,5.93,0.073,8.9,0.68,1.28,324.9,94.5,66.2,0.004,I,195,63760,2
RB00590,10/24/2025 12:03,Kohat Underground,Shale,525,138.7,11.7,71.4,2.5,2.38,2.58,0.37,0.96,5.71,0.067,9.9,0.63,0.93,335.7,93.2,65.5,0.0037,I,614,207930,1
RB02469,3/9/2025 13:13,Khewra Drift,Conglomerate,658,118.1,10.1,86,3.19,2.2,2.64,0.44,1.9,6.67,0.087,14,0.71,1.04,353.3,90.2,72.7,0.0042,II,194,48990,2
RB02414,2/27/2025 1:02,Attock Rock Shaft,Marble,607,116.7,9.5,87.4,3.16,2.87,2.74,0.43,1.36,6.72,0.062,12.3,0.74,1.19,363.2,99.4,79.8,0.0042,II,303,100190,2
RB01601,1/29/2025 5:50,Attock Rock Shaft,Gneiss,621,115.2,11.9,86,3.04,3.42,2.73,0.47,1.24,6.42,0.08,14.8,0.74,1.22,368.8,92,77.8,0.004,II,675,247620,2
RB02465,8/29/2025 11:10,Sanghar Section 1,Marble,649,118,9.9,82.2,3.11,2.09,2.68,0.46,0.84,7.37,0.073,12,0.73,0.91,365.8,92.8,78.1,0.0045,II,135,41950,0
RB00229,5/31/2025 11:30,Balochistan Deep Shaft,Gneiss,563,135.2,11.9,76.2,2.95,3.33,2.6,0.38,1.95,6.94,0.074,10.3,0.68,1.25,305.9,94.4,74.3,0.0038,I,140,53250,0
RB00916,2/4/2025 15:57,Balochistan Deep Shaft,Conglomerate,594,125.7,11.1,78.6,3.79,2.22,2.67,0.4,1.49,6.91,0.084,10.8,0.67,0.91,340.5,93.3,67.6,0.0037,I,448,166180,0
RB00795,10/17/2025 17:04,Gilgit Drift Alpha,Granite,592,138.2,10.9,79.8,2.63,2.54,2.75,0.32,1.76,5.64,0.08,8.6,0.65,1.04,330.2,93.2,69.1,0.0038,I,215,64540,0
RB03022,2/23/2025 13:04,Sindh Line A,Chalk,775,106.3,8.2,94.1,3.23,2.3,2.74,0.48,0.98,7.25,0.079,17.2,0.84,1.2,376.4,103.3,84,0.0045,III,207,75670,1
RB03544,11/23/2025 17:41,Reko Diq Zone 3,Shale,765,108.7,8.9,91.3,2.89,2.69,2.68,0.49,1.64,5.61,0.075,15.7,0.82,1.26,390.6,103.7,76.8,0.0048,III,575,225040,1
RB01074,8/7/2025 15:19,Thar Block A,Marble,567,126.2,13.3,71.6,3.7,3.26,2.65,0.34,1,6.53,0.068,8.5,0.7,1.25,308,93.5,69.8,0.0037,I,117,31290,2
RB03352,11/8/2025 2:31,Khewra Drift,Limestone,797,111.3,9.4,95.1,2.54,2.06,2.63,0.52,0.96,6.84,0.072,15.5,0.9,1.17,403.2,103.2,77.7,0.0048,III,81,22890,2
RB01745,7/10/2025 1:47,Karak Tunnel,Chalk,605,116.7,11.6,83.3,3.17,2.12,2.55,0.44,1.13,5.71,0.076,14.9,0.73,0.91,356.3,94.9,77,0.0042,II,59,13170,3
RB01085,5/27/2025 16:27,Balochistan Deep Shaft,Basalt,568,136.5,12.1,72.5,3.73,2.48,2.61,0.4,1.32,6.32,0.089,11.6,0.7,1.17,311.1,85,74.2,0.0038,I,38,8900,2
RB00927,6/3/2025 14:02,Karak Tunnel,Limestone,593,131.4,13.5,77.7,3.14,3.25,2.56,0.34,1.32,5.65,0.063,8.6,0.69,1.05,319.2,87.6,66.1,0.0036,I,32,13250,2
RB03050,2/7/2025 0:44,Mansehra Mid Tunnel,Granite,769,110.9,8.9,91.5,2.92,2.09,2.63,0.53,0.89,5.57,0.075,17.8,0.87,1.12,396.3,104.9,79.3,0.0046,III,70,11710,2
RB01118,1/3/2025 10:03,Tunnel B-12,Dolomite,502,136.4,10.6,76.9,3.01,2.34,2.74,0.33,1.38,6.21,0.072,10.9,0.62,1,331.4,88,65.7,0.004,I,62,10640,2
RB00643,10/14/2025 18:51,Punjab Core Tunnel,Limestone,599,133.7,11.3,75.5,3.02,2.09,2.57,0.33,1.3,7.39,0.078,8.4,0.61,1.03,331,85.7,70.6,0.0037,I,155,45630,3
RB04768,6/20/2025 9:26,Mine X-Delta,Gneiss,809,104.9,9.2,109.1,3.19,2.38,2.58,0.59,1.32,5.83,0.065,18.3,0.99,1.11,427.4,109,81.4,0.0049,IV,1069,424650,1
RB00502,3/24/2025 23:25,Buner Basin Tunnel,Basalt,589,127.7,12.6,75.7,3.35,3.22,2.57,0.32,1.23,6.72,0.085,9.3,0.62,1.06,304.4,91.7,67.7,0.0036,I,213,38820,3
RB04067,4/15/2025 0:53,Kohat Underground,Gneiss,816,90,8.9,107.2,3.06,3.44,2.68,0.56,1.1,6.59,0.063,19,0.98,1.08,410.7,108,89.7,0.005,IV,200,56960,2
RB00334,12/18/2025 23:54,Sindh Line A,Conglomerate,534,139.6,11.2,76.6,2.86,3.18,2.67,0.38,1.2,7.4,0.085,8.3,0.61,1.03,308.3,87.5,70.1,0.0036,I,729,212260,2
RB04685,2/1/2025 18:07,Mine X-Delta,Sandstone,821,99.5,7.8,100.5,3.22,3.33,2.79,0.56,1.68,6.26,0.077,18.1,0.95,0.95,438.8,110.1,89.7,0.005,IV,172,42950,2
RB00487,1/5/2025 2:16,Sindh Line A,Basalt,550,125.6,10.2,73.9,3,2.89,2.54,0.36,1.95,6.23,0.079,8.8,0.65,1.03,346,86.4,75,0.0036,I,437,172290,0
RB01963,10/29/2025 1:42,Skardu Access Tunnel,Limestone,613,121.8,10.7,80.9,3.32,2.58,2.75,0.41,1.25,5.6,0.084,12.8,0.71,1.1,363.1,94.6,70.7,0.0044,II,1043,395110,3
RB00394,8/27/2025 13:32,Reko Diq Zone 3,Marble,584,132.8,12.4,70.7,3.01,2.75,2.72,0.39,1.9,6.59,0.085,11.7,0.66,1.16,344.2,92.9,65.6,0.0038,I,239,51320,2
RB04843,3/28/2025 3:33,Attock Rock Shaft,Granite,909,98.2,9.4,108,3.61,2.36,2.66,0.6,1.68,7.16,0.077,18,0.94,0.97,418,101.1,84.5,0.005,IV,361,144880,0
RB04867,10/20/2025 16:35,Punjab Core Tunnel,Slate,901,97.3,9.6,109.3,2.7,2.63,2.68,0.57,1.92,6.76,0.084,18.4,0.94,1,431.8,103.1,85.2,0.005,IV,1132,477750,0
